"DateTime","TenantId","JobId","CycleId","ChangeId","Action","Duration (ms)","ServicePrincipalId","ServicePrincipalName","InitiatedById","InitiatedByName","InitiatedByType","StatusInfoStatus","StatusInfoErrorCode","StatusInfoReason","StatusInfoAdditionalDetails","StatusInfoErrorCategory","StatusInfoRecommendedAction","SourceSystemId","SourceSystemName","TargetSystemId","TargetSystemName","SourceIdentityId","SourceIdentityName","SourceIdentityType","TargetIdentityId","TargetIdentityName","TargetIdentityType"
"2026-05-24T22:18:30Z","791eadd1-7519-44e0-8445-751a43c7bfff","aWSSingleSignon.791eadd1751944e08445751a43c7bfff.021b577c-0ec7-4a9b-aeaa-15d4198bd9c6","166daa2a-c658-47a5-9069-638dd34e6551","993304ab-7c74-4adf-9e8a-44662c618b72","Update","719","75fb2bb3-1ee5-4bc2-bb93-57e9f6ea9665","AWS IAM Identity Center (successor to AWS Single Sign-On)","","Azure AD Provisioning Service","system","success","","","","","","094474b5-7c62-487a-ab04-cae6d1a8fd09","Microsoft Entra ID","13b64ab7-c1f5-4204-bcb3-093c0a0509f5","AWSSingleSignon","bc2cc9cb-bdde-4b67-b421-fa1dea57dc6d","GRP-AWS-Engineering","Group","612bc500-c071-7016-3bc1-efc0d4f31ac7","","urn:ietf:params:scim:schemas:core:2.0:Group"
"2026-05-24T22:18:29Z","791eadd1-7519-44e0-8445-751a43c7bfff","aWSSingleSignon.791eadd1751944e08445751a43c7bfff.021b577c-0ec7-4a9b-aeaa-15d4198bd9c6","166daa2a-c658-47a5-9069-638dd34e6551","87ec8460-a949-4943-974e-d75f327ff7bc","Create","700","75fb2bb3-1ee5-4bc2-bb93-57e9f6ea9665","AWS IAM Identity Center (successor to AWS Single Sign-On)","","Azure AD Provisioning Service","system","success","","","","","","666749d8-69da-4373-bcbe-a5c38843e7d0","Microsoft Entra ID","c5b20bd9-ae8c-4251-9bc4-d41f7e5a4a74","AWSSingleSignon","c897ae1b-09b0-4a6e-a57f-3d465cd68b96","aide bonavita","User","a1cbc5c0-d061-70a9-74e3-c76b1d484e89","","urn:ietf:params:scim:schemas:extension:enterprise:2.0:User"
"2026-05-24T21:19:01Z","791eadd1-7519-44e0-8445-751a43c7bfff","aWSSingleSignon.791eadd1751944e08445751a43c7bfff.021b577c-0ec7-4a9b-aeaa-15d4198bd9c6","9bb8ccbf-bb25-4801-abe9-0ecc36328e02","8af641ed-e593-42d6-acc1-f9690628ec4a","Update","453","75fb2bb3-1ee5-4bc2-bb93-57e9f6ea9665","AWS IAM Identity Center (successor to AWS Single Sign-On)","","Azure AD Provisioning Service","system","skipped","","","","","","aa4b50a5-3954-4f27-9096-939af15417c2","Microsoft Entra ID","92e38f26-053d-4072-b103-45017284edb3","AWSSingleSignon","a0b481b8-dd6d-4ccd-a5db-68119217296a","ara molino","User","","","urn:ietf:params:scim:schemas:extension:enterprise:2.0:User"
"2026-05-24T21:18:59Z","791eadd1-7519-44e0-8445-751a43c7bfff","aWSSingleSignon.791eadd1751944e08445751a43c7bfff.021b577c-0ec7-4a9b-aeaa-15d4198bd9c6","9bb8ccbf-bb25-4801-abe9-0ecc36328e02","aa194c87-ba5f-4512-aa67-c6034bda0d37","Update","3541","75fb2bb3-1ee5-4bc2-bb93-57e9f6ea9665","AWS IAM Identity Center (successor to AWS Single Sign-On)","","Azure AD Provisioning Service","system","success","","","","","","13de9708-233f-473d-bc82-c5729a8f758b","Microsoft Entra ID","69014184-d852-45e5-a1f8-a814fd9a98ab","AWSSingleSignon","bc2cc9cb-bdde-4b67-b421-fa1dea57dc6d","GRP-AWS-Engineering","Group","612bc500-c071-7016-3bc1-efc0d4f31ac7","","urn:ietf:params:scim:schemas:core:2.0:Group"
"2026-05-24T21:18:59Z","791eadd1-7519-44e0-8445-751a43c7bfff","aWSSingleSignon.791eadd1751944e08445751a43c7bfff.021b577c-0ec7-4a9b-aeaa-15d4198bd9c6","9bb8ccbf-bb25-4801-abe9-0ecc36328e02","e58fec47-ed0f-4725-b097-27cf8dc32dc3","Update","3533","75fb2bb3-1ee5-4bc2-bb93-57e9f6ea9665","AWS IAM Identity Center (successor to AWS Single Sign-On)","","Azure AD Provisioning Service","system","success","","","","","","cc8d0154-6917-483c-8b31-476fc75750ad","Microsoft Entra ID","9ab117e0-b8d6-40fa-9421-820961669b7a","AWSSingleSignon","bc2cc9cb-bdde-4b67-b421-fa1dea57dc6d","GRP-AWS-Engineering","Group","612bc500-c071-7016-3bc1-efc0d4f31ac7","","urn:ietf:params:scim:schemas:core:2.0:Group"
"2026-05-24T21:18:59Z","791eadd1-7519-44e0-8445-751a43c7bfff","aWSSingleSignon.791eadd1751944e08445751a43c7bfff.021b577c-0ec7-4a9b-aeaa-15d4198bd9c6","9bb8ccbf-bb25-4801-abe9-0ecc36328e02","a2c36028-cb9f-436c-b3d2-5bded7d94f72","Update","3525","75fb2bb3-1ee5-4bc2-bb93-57e9f6ea9665","AWS IAM Identity Center (successor to AWS Single Sign-On)","","Azure AD Provisioning Service","system","success","","","","","","4a4467bb-742a-4ca3-a1d2-db91ca25719d","Microsoft Entra ID","6aaf26b0-93a4-4f81-8a9b-89c3208f3e9e","AWSSingleSignon","bc2cc9cb-bdde-4b67-b421-fa1dea57dc6d","GRP-AWS-Engineering","Group","612bc500-c071-7016-3bc1-efc0d4f31ac7","","urn:ietf:params:scim:schemas:core:2.0:Group"
"2026-05-24T21:18:59Z","791eadd1-7519-44e0-8445-751a43c7bfff","aWSSingleSignon.791eadd1751944e08445751a43c7bfff.021b577c-0ec7-4a9b-aeaa-15d4198bd9c6","9bb8ccbf-bb25-4801-abe9-0ecc36328e02","7df6b4bd-df5a-4c01-96a9-62de92c0df98","Update","3509","75fb2bb3-1ee5-4bc2-bb93-57e9f6ea9665","AWS IAM Identity Center (successor to AWS Single Sign-On)","","Azure AD Provisioning Service","system","success","","","","","","3d792552-e3fb-409e-9fb5-7d7a477b5f6a","Microsoft Entra ID","75aafb8c-b872-4127-9fca-f99b81306fec","AWSSingleSignon","1abe4a2e-d32b-4432-bab8-4d039714f1a5","GRP-AWS-DevOps","Group","a1db5580-d0e1-70a1-f20f-dbf1ddf4dcd7","","urn:ietf:params:scim:schemas:core:2.0:Group"
"2026-05-24T21:18:59Z","791eadd1-7519-44e0-8445-751a43c7bfff","aWSSingleSignon.791eadd1751944e08445751a43c7bfff.021b577c-0ec7-4a9b-aeaa-15d4198bd9c6","9bb8ccbf-bb25-4801-abe9-0ecc36328e02","782270b8-5c6c-4207-af3d-941f2588f1b1","Update","3501","75fb2bb3-1ee5-4bc2-bb93-57e9f6ea9665","AWS IAM Identity Center (successor to AWS Single Sign-On)","","Azure AD Provisioning Service","system","success","","","","","","ba33a387-6c64-429e-a251-dd65c0c6fd9b","Microsoft Entra ID","f3425846-22e7-4e9e-a25b-948595d8dcaa","AWSSingleSignon","1abe4a2e-d32b-4432-bab8-4d039714f1a5","GRP-AWS-DevOps","Group","a1db5580-d0e1-70a1-f20f-dbf1ddf4dcd7","","urn:ietf:params:scim:schemas:core:2.0:Group"
"2026-05-24T21:18:59Z","791eadd1-7519-44e0-8445-751a43c7bfff","aWSSingleSignon.791eadd1751944e08445751a43c7bfff.021b577c-0ec7-4a9b-aeaa-15d4198bd9c6","9bb8ccbf-bb25-4801-abe9-0ecc36328e02","26c24d8d-e61c-4ecf-b91a-efbb1137d2c6","Update","3493","75fb2bb3-1ee5-4bc2-bb93-57e9f6ea9665","AWS IAM Identity Center (successor to AWS Single Sign-On)","","Azure AD Provisioning Service","system","success","","","","","","30d2075c-f3bc-4ab2-8fbb-3b7d3f2089c2","Microsoft Entra ID","8f431b49-5693-46d0-9ce2-c0900bcbfd0f","AWSSingleSignon","1abe4a2e-d32b-4432-bab8-4d039714f1a5","GRP-AWS-DevOps","Group","a1db5580-d0e1-70a1-f20f-dbf1ddf4dcd7","","urn:ietf:params:scim:schemas:core:2.0:Group"
"2026-05-24T21:18:59Z","791eadd1-7519-44e0-8445-751a43c7bfff","aWSSingleSignon.791eadd1751944e08445751a43c7bfff.021b577c-0ec7-4a9b-aeaa-15d4198bd9c6","9bb8ccbf-bb25-4801-abe9-0ecc36328e02","9965c613-8610-42bd-90a6-6edacf37cb5c","Update","3484","75fb2bb3-1ee5-4bc2-bb93-57e9f6ea9665","AWS IAM Identity Center (successor to AWS Single Sign-On)","","Azure AD Provisioning Service","system","success","","","","","","c3f5098f-f29a-40c4-be7a-605bf147ebfa","Microsoft Entra ID","25985c7c-ee14-4279-a515-b6b1606fb5f8","AWSSingleSignon","1abe4a2e-d32b-4432-bab8-4d039714f1a5","GRP-AWS-DevOps","Group","a1db5580-d0e1-70a1-f20f-dbf1ddf4dcd7","","urn:ietf:params:scim:schemas:core:2.0:Group"
